status,product_id,category,path,size,error
success,B0CB3SDKS8,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0CB3SDKS8.jpg,11875.0,
success,B009NQLT0M,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B009NQLT0M.jpg,12920.0,
success,B00BOUFSRK,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B00BOUFSRK.jpg,18696.0,
success,B0BG3P3PK2,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0BG3P3PK2.jpg,9125.0,
success,B09P5G6GNK,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B09P5G6GNK.jpg,14804.0,
success,B09FWCJGBR,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B09FWCJGBR.jpg,22625.0,
success,B08T8PSMHK,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B08T8PSMHK.jpg,8593.0,
success,B07F3YJK7R,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B07F3YJK7R.jpg,16893.0,
success,B09S281BJ1,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B09S281BJ1.jpg,11266.0,
success,B000EX14OE,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B000EX14OE.jpg,12042.0,
success,B09MFJDJMK,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B09MFJDJMK.jpg,14832.0,
success,B00B8ITIRE,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B00B8ITIRE.jpg,12736.0,
success,B072WC8YSW,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B072WC8YSW.jpg,12208.0,
success,B002009YPA,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B002009YPA.jpg,16144.0,
success,B0C4TKPJ28,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0C4TKPJ28.jpg,11015.0,
success,B00KOC6KEE,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B00KOC6KEE.jpg,13689.0,
success,B008DE3VJW,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B008DE3VJW.jpg,8941.0,
success,B00O2M3QS0,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B00O2M3QS0.jpg,13138.0,
success,B092WVLHP1,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B092WVLHP1.jpg,24200.0,
success,B0CFHXXGVF,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0CFHXXGVF.jpg,11880.0,
success,B0964H1KV1,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0964H1KV1.jpg,10960.0,
success,B01JLSN4G8,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B01JLSN4G8.jpg,10048.0,
success,B00ATTR8NE,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B00ATTR8NE.jpg,14051.0,
success,B08TG91TYG,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B08TG91TYG.jpg,15283.0,
success,B092J2DH8R,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B092J2DH8R.jpg,10569.0,
success,B074MJPCD3,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B074MJPCD3.jpg,11304.0,
success,B00JLBDCFO,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B00JLBDCFO.jpg,8656.0,
success,B0BRYKJ621,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0BRYKJ621.jpg,28124.0,
success,B01M9HJUUU,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B01M9HJUUU.jpg,18797.0,
success,B094YYP6JR,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B094YYP6JR.jpg,10454.0,
success,B097TJ699H,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B097TJ699H.jpg,9799.0,
success,B097S4G9C4,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B097S4G9C4.jpg,10491.0,
success,B0BPSKRJ7G,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0BPSKRJ7G.jpg,6403.0,
success,B01COSEDSA,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B01COSEDSA.jpg,13464.0,
success,B0011UASLO,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0011UASLO.jpg,10844.0,
success,B092ZF4MM2,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B092ZF4MM2.jpg,14615.0,
success,B096N9PM1S,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B096N9PM1S.jpg,9624.0,
success,B0055DMOHY,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0055DMOHY.jpg,12132.0,
success,B08DHVQS85,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B08DHVQS85.jpg,23508.0,
success,B0B4F6CKH6,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0B4F6CKH6.jpg,13146.0,
success,B08653BXYF,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B08653BXYF.jpg,9036.0,
success,B08BVYY21X,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B08BVYY21X.jpg,8948.0,
success,B00BJ80ECG,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B00BJ80ECG.jpg,14700.0,
success,B01BD7RERU,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B01BD7RERU.jpg,15701.0,
success,B09YZW21NC,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B09YZW21NC.jpg,23850.0,
success,B00V3WDJQ6,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B00V3WDJQ6.jpg,14687.0,
success,B0BK245Y1V,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B0BK245Y1V.jpg,10270.0,
success,B012AO5G2A,Other,C:\Users\Rajshree Singh\Desktop\ATLAS\data\images\Other\B012AO5G2A.jpg,20554.0,
